DATE,USD to JPY,USD to EUR,USD to GBP
1999-10-19,0.009478672985781991,1.0833,1.6708
1999-10-20,0.009419743782969104,1.0765,1.6643
1999-10-21,0.009437523593808984,1.0808,1.6765
1999-10-22,0.009450902561194593,1.0678,1.6584
1999-10-25,0.009492168960607499,1.0666,1.6631
1999-10-26,0.009539254030334827,1.0578,1.6525
1999-10-27,0.009593246354566386,1.0532,1.6477
1999-10-28,0.009512032721392562,1.0519,1.64
1999-10-29,0.009588647041902387,1.0518,1.6425
1999-11-01,0.009597850081581726,1.0494,1.6404
1999-11-02,0.009601536245799328,1.0506,1.6445
1999-11-03,0.009523809523809525,1.0485,1.644
1999-11-04,0.009571209800918835,1.044,1.6375
1999-11-05,0.009404683532399136,1.04,1.6205
1999-11-08,0.009454476694714949,1.0363,1.615
1999-11-09,0.009536524890329964,1.0401,1.621
1999-11-10,0.009562057754828839,1.0436,1.625
1999-11-11,,,
1999-11-12,0.009493070058857035,1.0315,1.6131
1999-11-15,0.009534706331045004,1.0315,1.623
1999-11-16,0.009449116507606539,1.0312,1.6164
1999-11-17,0.00948136910969944,1.0403,1.6231
1999-11-18,0.00944733112895607,1.0297,1.615
1999-11-19,0.00942240648261566,1.0313,1.616
1999-11-22,0.009535615523982072,1.0327,1.6205
1999-11-23,0.009596928982725527,1.0261,1.6236
1999-11-24,0.009558401835213151,1.0176,1.609
1999-11-25,,,
1999-11-26,0.009785693316371465,1.0137,1.6062
1999-11-29,0.009762764814995606,1.01,1.6024
1999-11-30,0.009823182711198428,1.0077,1.5935
1999-12-01,0.009768486861385171,1.0059,1.596
1999-12-02,0.009738046547862499,1.0023,1.5972
1999-12-03,0.009751340809361287,1.0016,1.6015
1999-12-06,0.009699321047526674,1.0252,1.623
1999-12-07,0.00976657876745776,1.0222,1.6233
1999-12-08,0.009711566475672525,1.0263,1.6255
1999-12-09,0.009749439407234085,1.0161,1.623
1999-12-10,0.009765625,1.0158,1.6225
1999-12-13,0.00968429207824908,1.012,1.6232
1999-12-14,0.009664637092877163,1.0067,1.611
1999-12-15,0.009658103148541626,1.0066,1.6085
1999-12-16,0.009704968944099378,1.0169,1.6123
1999-12-17,0.009683354313934347,1.0088,1.607
1999-12-20,0.009735202492211837,1.0066,1.6035
1999-12-21,0.009798157946306094,1.0093,1.6103
1999-12-22,0.009849305623953511,1.008,1.606
1999-12-23,0.00982994200334218,1.0162,1.6161
1999-12-24,0.009713453132588635,1.0128,1.6154
1999-12-27,0.009794319294809012,1.0136,1.6173
1999-12-28,0.009785693316371465,1.0068,1.6165
1999-12-29,0.009799118079372856,1.0045,1.6168
1999-12-30,0.00977230528681716,1.0024,1.613
1999-12-31,0.009788566953797965,1.007,1.615
2000-01-03,0.00983284169124877,1.0155,1.627
2000-01-04,0.00970026190707149,1.0309,1.637
2000-01-05,0.009636696540425942,1.0335,1.6415
2000-01-06,0.00950660709192889,1.0324,1.6475
2000-01-07,0.009508414947228297,1.0294,1.6384
2000-01-10,0.009498480243161094,1.0252,1.6374
2000-01-11,0.009425959091337543,1.0322,1.648
2000-01-12,0.0094553706505295,1.0281,1.6465
2000-01-13,0.009425959091337543,1.027,1.6482
2000-01-14,0.009446438692612885,1.0128,1.6353
2000-01-17,,,
2000-01-18,0.009479571523367144,1.0121,1.638
2000-01-19,0.00948856627763545,1.0115,1.6438
2000-01-20,0.009483167377904219,1.0133,1.6538
2000-01-21,0.009527439024390244,1.01,1.6504
2000-01-24,0.009476876421531463,1.0019,1.652
2000-01-25,0.009445546424860677,1.0041,1.6482
2000-01-26,0.00944733112895607,1.0011,1.6395
2000-01-27,0.009531979792202841,0.989,1.6363
2000-01-28,0.009332711152589827,0.9765,1.621
2000-01-31,0.009317059536010435,0.9757,1.6182
2000-02-01,0.009287638153617534,0.9731,1.615
2000-02-02,0.00922509225092251,0.9768,1.606
2000-02-03,0.009266123054114159,0.9887,1.6025
2000-02-04,0.009298865538404314,0.976,1.5915
2000-02-07,0.009195402298850575,0.9783,1.5917
2000-02-08,0.009124920156948626,0.9862,1.6105
2000-02-09,0.009165062780680048,0.9914,1.6115
2000-02-10,0.009196247930844215,0.9865,1.6057
2000-02-11,0.009175153683824204,0.9847,1.5923
2000-02-14,0.009203865623561895,0.9783,1.589
2000-02-15,0.009195402298850575,0.9834,1.595
2000-02-16,0.009142439202779302,0.9842,1.604
2000-02-17,0.009068649678062937,0.9863,1.605
2000-02-18,0.00901875901875902,0.985,1.5984
2000-02-21,,,
2000-02-22,0.009005763688760807,1.006,1.6165
2000-02-23,0.00900009000090001,1.0017,1.6047
2000-02-24,0.009013068949977467,0.9931,1.5981
2000-02-25,0.009010632546404758,0.9763,1.5908
2000-02-28,0.009160025648071814,0.9669,1.5935
2000-02-29,0.009100837277029487,0.9643,1.578
2000-03-01,0.009337068160597572,0.97,1.5849
2000-03-02,0.009313588525658936,0.9619,1.5765
2000-03-03,0.00927643784786642,0.9618,1.581
2000-03-06,0.009281603861147207,0.9603,1.5732
2000-03-07,0.009416195856873822,0.956,1.5772
2000-03-08,0.009355412105903266,0.9576,1.5855
2000-03-09,0.009394081728511038,0.9684,1.5815
2000-03-10,0.009409993413004612,0.9659,1.5793
2000-03-13,0.0094948727687049,0.9648,1.5782
2000-03-14,0.009537434430138294,0.9644,1.5725
2000-03-15,0.009471490812653912,0.9696,1.573
2000-03-16,0.00946700747893591,0.971,1.5747
2000-03-17,0.009425070688030161,0.9694,1.5705
2000-03-20,0.009389671361502348,0.971,1.5686
2000-03-21,0.009353661958656815,0.9703,1.5725
2000-03-22,0.009365926758452749,0.9608,1.5705
2000-03-23,0.009306654257794323,0.9691,1.583
2000-03-24,0.009324009324009324,0.9724,1.591
2000-03-27,0.009334453467749464,0.9645,1.5855
2000-03-28,0.009442870632672332,0.9614,1.5872
2000-03-29,0.00946969696969697,0.9524,1.587
2000-03-30,0.00947597839476926,0.9594,1.5922
2000-03-31,0.009734254842791784,0.9574,1.5922
2000-04-03,0.009540164090822362,0.956,1.598
2000-04-04,0.009493971328206589,0.9588,1.5965
2000-04-05,0.009523809523809525,0.9647,1.59
2000-04-06,0.00954380606986066,0.958,1.58
2000-04-07,0.009493971328206589,0.959,1.583
2000-04-10,0.00940114693992667,0.9588,1.5828
2000-04-11,0.009350163627863487,0.9591,1.5873
2000-04-12,0.009446438692612885,0.9551,1.5882
2000-04-13,0.0094553706505295,0.9524,1.5881
2000-04-14,0.009512937595129375,0.9564,1.586
2000-04-17,0.009597850081581726,0.955,1.5853
2000-04-18,0.009561143512764126,0.9477,1.5764
2000-04-19,0.00952925481227368,0.9369,1.5777
2000-04-20,0.009483167377904219,0.9376,1.5801
2000-04-21,0.009444654325651681,0.9379,1.5785
2000-04-24,0.00946431951542684,0.9396,1.58
2000-04-25,0.009459842966606754,0.9265,1.5787
2000-04-26,0.00939319932368965,0.9217,1.5795
2000-04-27,0.009402030838661151,0.9083,1.5748
2000-04-28,0.009260974254491572,0.9089,1.556
2000-05-01,0.00918357975939021,0.912,1.5558
2000-05-02,0.009205560158335634,0.9068,1.559
2000-05-03,0.00916254352208173,0.8891,1.5605
2000-05-04,0.00924470740501063,0.8907,1.5435
2000-05-05,0.009214042200313277,0.8953,1.5288
2000-05-08,0.009171787581399615,0.895,1.531
2000-05-09,0.009123255177447314,0.9023,1.5315
2000-05-10,0.00914662032379036,0.9097,1.5153
2000-05-11,0.009219138932423711,0.9021,1.4997
2000-05-12,0.009196247930844215,0.908,1.5172
2000-05-15,0.009134088417975885,0.9138,1.5075
2000-05-16,0.009111617312072893,0.9053,1.5008
2000-05-17,0.009129918743723181,0.8921,1.4905
2000-05-18,0.00919963201471941,0.8952,1.4818
2000-05-19,0.009355412105903266,0.8946,1.4855
2000-05-22,0.009344047841524948,0.9036,1.4907
2000-05-23,0.009370314842578711,0.9032,1.4728
2000-05-24,0.009295408068414203,0.9096,1.4755
2000-05-25,0.009304056568663937,0.9072,1.4705
2000-05-26,0.009330098899048329,0.931,1.4875
2000-05-29,,,
2000-05-30,0.009394964299135663,0.9314,1.495
2000-05-31,0.009281603861147207,0.9328,1.4968
2000-06-01,0.009196247930844215,0.9307,1.4915
2000-06-02,0.009246417013407305,0.9432,1.5079
2000-06-05,0.009307520476545048,0.9471,1.5135
2000-06-06,0.00946611132146914,0.957,1.5235
2000-06-07,0.009478672985781991,0.96,1.5225
2000-06-08,0.009446438692612885,0.9548,1.506
2000-06-09,0.009365049634763064,0.9526,1.5079
2000-06-12,0.009376465072667603,0.9544,1.512
2000-06-13,0.009364172675344134,0.9619,1.513
2000-06-14,0.009355412105903266,0.959,1.5023
2000-06-15,0.00938790837401427,0.953,1.5103
2000-06-16,0.009414422895876483,0.9648,1.5165
2000-06-19,0.009457159069415548,0.9622,1.5154
2000-06-20,0.00948586605957124,0.9557,1.51
2000-06-21,0.009478672985781991,0.9455,1.497
2000-06-22,0.009578544061302681,0.9398,1.511
2000-06-23,0.009561143512764126,0.9358,1.501
2000-06-26,0.00946431951542684,0.9382,1.499
2000-06-27,0.00947597839476926,0.9444,1.5
2000-06-28,0.009477774618519572,0.9444,1.5107
2000-06-29,0.009515653249595584,0.9515,1.5194
2000-06-30,0.00942151874882231,0.9545,1.513
2000-07-03,0.00946611132146914,0.9526,1.5135
2000-07-04,,,
2000-07-05,0.009353661958656815,0.9548,1.512
2000-07-06,0.009313588525658936,0.9527,1.512
2000-07-07,0.009275577404693442,0.9484,1.5143
2000-07-10,0.009337068160597572,0.9521,1.5137
2000-07-11,0.009351912466099318,0.9497,1.514
2000-07-12,0.009228497600590625,0.9401,1.5068
2000-07-13,0.009236168837166344,0.9339,1.499
2000-07-14,0.009269558769002597,0.9374,1.499
2000-07-17,0.009214042200313277,0.9351,1.492
2000-07-18,0.009233610341643583,0.9322,1.4945
2000-07-19,0.009242144177449167,0.9237,1.4942
2000-07-20,0.009268699601445917,0.9292,1.5094
2000-07-21,0.009167583425009168,0.9343,1.5167
2000-07-24,0.00918105031215571,0.9314,1.514
2000-07-25,0.009149130832570906,0.9391,1.519
2000-07-26,0.009150805270863836,0.9413,1.5154
2000-07-27,0.009161704076958314,0.9331,1.5116
2000-07-28,0.009121590805436468,0.9246,1.5025
2000-07-31,0.00911743253099927,0.9266,1.4983
2000-08-01,0.009134922809902257,0.9228,1.4992
2000-08-02,0.009193711501333088,0.9137,1.4926
2000-08-03,0.009228497600590625,0.9042,1.4947
2000-08-04,0.009213193292795283,0.9075,1.5022
2000-08-07,0.009175153683824204,0.9105,1.507
2000-08-08,0.009204712812960236,0.9019,1.5022
2000-08-09,0.009260116677470136,0.8991,1.4992
2000-08-10,0.00919963201471941,0.9077,1.498
2000-08-11,0.009201324990798674,0.9046,1.504
2000-08-14,0.009130752373995618,0.9037,1.506
2000-08-15,0.009174311926605505,0.9135,1.5056
2000-08-16,0.00921234454168586,0.9143,1.4988
2000-08-17,0.009218289085545723,0.9152,1.4992
2000-08-18,0.009222539887485013,0.9068,1.4895
2000-08-21,0.009214042200313277,0.9027,1.49
2000-08-22,0.009230201218386561,0.8965,1.4797
2000-08-23,0.009344047841524948,0.8967,1.4813
2000-08-24,0.009355412105903266,0.9028,1.4806
2000-08-25,0.009330969487729775,0.9024,1.4745
2000-08-28,0.009394081728511038,0.9002,1.4716
2000-08-29,0.009416195856873822,0.8966,1.4616
2000-08-30,0.009392317084624777,0.8924,1.456
2000-08-31,0.009375585974123383,0.8878,1.4515
2000-09-01,0.009453582907922102,0.8993,1.4605
2000-09-04,,,
2000-09-05,0.009444654325651681,0.8876,1.4522
2000-09-06,0.00942684766214178,0.8702,1.4455
2000-09-07,0.009514747859181731,0.874,1.438
2000-09-08,0.00943129303027445,0.8664,1.4196
2000-09-11,0.009436633009342266,0.8624,1.4123
2000-09-12,0.009351912466099318,0.8596,1.402
2000-09-13,0.009336196433572962,0.864,1.4125
2000-09-14,0.009324009324009324,0.8617,1.406
2000-09-15,0.009317059536010435,0.8572,1.4005
2000-09-18,0.009357162908206231,0.8523,1.4015
2000-09-19,0.009344047841524948,0.8514,1.408
2000-09-20,0.009365926758452749,0.8462,1.4107
2000-09-21,0.009389671361502348,0.8558,1.428
2000-09-22,0.009264406151565685,0.8793,1.4568
2000-09-25,0.0092910898448388,0.8738,1.454
2000-09-26,0.0092910898448388,0.8815,1.46
2000-09-27,0.009307520476545048,0.8805,1.4607
2000-09-28,0.009294544102611766,0.8826,1.4635
2000-09-29,0.009267840593141797,0.8837,1.4787
2000-10-02,0.009190331770976933,0.8806,1.4675
2000-10-03,0.009203018590097553,0.8741,1.4565
2000-10-04,0.009149967975112087,0.8726,1.4558
2000-10-05,0.009149130832570906,0.8685,1.4502
2000-10-06,0.009190331770976933,0.868,1.4445
2000-10-09,,,
2000-10-10,0.009267840593141797,0.8682,1.4484
2000-10-11,0.0092910898448388,0.8715,1.462
2000-10-12,0.009295408068414203,0.8644,1.4735
2000-10-13,0.009287638153617534,0.8568,1.4597
2000-10-16,0.009233610341643583,0.8489,1.4455
2000-10-17,0.009246417013407305,0.8507,1.4426
2000-10-18,0.009278159213212098,0.8391,1.4464
2000-10-19,0.00921234454168586,0.8406,1.4422
2000-10-20,0.009170946441672781,0.84,1.4448
2000-10-23,0.009220839096357769,0.8364,1.455
2000-10-24,0.009252405625462621,0.8364,1.449
2000-10-25,0.00925497454881999,0.827,1.4335
2000-10-26,0.009228497600590625,0.8271,1.4313
2000-10-27,0.009195402298850575,0.8406,1.4517
2000-10-30,0.009175153683824204,0.8432,1.453
2000-10-31,0.009161704076958314,0.8486,1.4505
2000-11-01,0.009218289085545723,0.8584,1.4452
2000-11-02,0.009225943352707815,0.8594,1.444
2000-11-03,0.009295408068414203,0.8614,1.4484
2000-11-06,0.009316191540898081,0.8584,1.432
2000-11-07,0.009319664492078286,0.8583,1.431
2000-11-08,0.009296272194849865,0.8559,1.4236
2000-11-09,0.009310120100549298,0.8574,1.4242
2000-11-10,0.009273856997125105,0.8625,1.4305
2000-11-13,0.009285051067780872,0.8607,1.4388
2000-11-14,0.009246417013407305,0.8573,1.4306
2000-11-15,0.009195402298850575,0.857,1.4257
2000-11-16,0.009167583425009168,0.8532,1.4228
2000-11-17,0.009186110600771633,0.8516,1.423
2000-11-20,0.009108297659167501,0.8486,1.4222
2000-11-21,0.009067005168192945,0.8458,1.416
2000-11-22,0.00907770515613653,0.8423,1.4077
2000-11-23,,,
2000-11-24,0.00897827258035554,0.8382,1.3997
2000-11-27,0.009033423667570008,0.85,1.4155
2000-11-28,0.009071940488070397,0.8547,1.4182
2000-11-29,0.008986340762041696,0.8577,1.4209
2000-11-30,0.009014693951140358,0.8694,1.421
2000-12-01,0.00899685110211426,0.8765,1.4373
2000-12-04,0.009003331232556045,0.8875,1.4523
2000-12-05,0.009009009009009009,0.8804,1.441
2000-12-06,0.009056330374932078,0.8877,1.4365
2000-12-07,0.009033423667570008,0.8891,1.44
2000-12-08,0.008985533291400845,0.8838,1.4442
2000-12-11,0.009027715085311907,0.8771,1.4554
2000-12-12,0.008968609865470852,0.8775,1.448
2000-12-13,0.00889679715302491,0.8755,1.451
2000-12-14,0.00889521437466643,0.8858,1.4665
2000-12-15,0.00888494002665482,0.8981,1.4763
2000-12-18,0.00892379082634303,0.8929,1.4677
2000-12-19,0.00888494002665482,0.8902,1.462
2000-12-20,0.008882572392965003,0.9058,1.4737
2000-12-21,0.008914244963451595,0.9112,1.4707
2000-12-22,0.008869179600886918,0.923,1.4783
2000-12-25,,,
2000-12-26,0.00880126738250308,0.9292,1.48
2000-12-27,0.008756567425569177,0.9304,1.4912
2000-12-28,0.008724480893386843,0.9257,1.4907
2000-12-29,0.008745080891998252,0.9388,1.4955
2001-01-01,,,
2001-01-02,0.008716116098666434,0.9465,1.4977
2001-01-03,0.00875196919306844,0.9473,1.5045
2001-01-04,0.008660258075690656,0.9448,1.493
2001-01-05,0.008606592649969876,0.9535,1.499
2001-01-08,0.0086229197206174,0.9486,1.4969
2001-01-09,0.008573388203017833,0.9397,1.49
2001-01-10,0.00860141063134354,0.9387,1.491
2001-01-11,0.008506294658046955,0.952,1.4965
2001-01-12,0.008491847826086956,0.9486,1.4778
2001-01-15,,,
2001-01-16,0.008526603001364257,0.9374,1.4675
2001-01-17,0.008449514152936207,0.9306,1.4723
2001-01-18,0.008490405841399219,0.9446,1.4755
2001-01-19,0.008530239699735563,0.9363,1.4683
2001-01-22,0.008574858514834504,0.9374,1.465
2001-01-23,0.008550662676357417,0.9389,1.4715
2001-01-24,0.008461668641056016,0.9258,1.4616
2001-01-25,0.008553588230262595,0.9219,1.4605
2001-01-26,0.008535336292249915,0.9213,1.459
2001-01-29,0.008571183680466271,0.9181,1.457
2001-01-30,0.008639308855291577,0.9264,1.4615
2001-01-31,0.00859180341953776,0.9308,1.4613
2001-02-01,0.008670770831526923,0.9384,1.4775
2001-02-02,0.008646779074794638,0.9357,1.4692
2001-02-05,0.008696408383337682,0.9395,1.475
2001-02-06,0.008704735376044569,0.9304,1.4585
2001-02-07,0.0086051114361931,0.9331,1.4633
2001-02-08,0.008598452278589854,0.9184,1.444
2001-02-09,0.008505571149102662,0.9267,1.449
2001-02-12,0.008501955449753443,0.9287,1.4513
2001-02-13,0.008525149190110827,0.9204,1.451
2001-02-14,0.008572653236176597,0.9197,1.4578
2001-02-15,0.00864528399757932,0.9057,1.449
2001-02-16,0.008661008141347654,0.9162,1.4505
