DATE,SPX_Adj_Close,SPX_Volume, DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
11/19/2013,1787.869995,3224450000,15967.03,17983.66857,17388638.1,11007.01429,2.742156507,3931.55,-334.7325373,96.48489552,1.611,0.00998602,1.3529
11/20/2013,1781.369995,3109140000,15900.82,17982.74061,17395281.51,11010.12381,2.753544016,3921.27,-335.8858955,96.49149254,1.615,0.009998,1.3451
11/21/2013,1795.849976,3256630000,16009.99,17981.81266,17401924.91,11013.23333,2.764931524,3969.15,-337.0392537,96.49808955,1.6155,0.009905894,1.347
11/22/2013,1804.76001,3055140000,16064.77,17980.8847,17408568.31,11016.34286,2.776319032,3991.65,-338.1926119,96.50468657,1.6211,0.009872643,1.3547
11/25/2013,1802.47998,2998540000,16072.54,17979.95675,17415211.72,11019.45238,2.787706541,3994.57,-339.3459701,96.51128358,1.6146,0.009832842,1.3502
11/26/2013,1802.75,3427120000,16072.8,17979.02879,17421855.12,11022.5619,2.799094049,4017.75,-340.4993284,96.5178806,1.6187,0.009863878,1.3555
11/27/2013,1807.22998,2613590000,16097.33,17978.10084,17428498.52,11025.67143,2.810481557,4044.75,-341.6526866,96.52447761,1.6267,0.009786651,1.3563
11/28/2013,1806.52002,2105945000,16091.87,17977.17288,17435141.93,11028.78095,2.821869066,4052.32,-342.8060448,96.53107463,1.632,0.009773755,1.35845
11/29/2013,1805.810059,1598300000,16086.41,17976.24493,17441785.33,11031.89048,2.833256574,4059.89,-343.959403,96.53767164,1.6373,0.009760859,1.3606
12/1/2013,1803.355042,2346865000,16047.59,17975.31697,17448428.73,11035,2.844644082,4052.575,-345.1127612,96.54426866,1.6369,0.009732914,1.3579
12/2/2013,1800.900024,3095430000,16008.77,17974.38901,17455072.13,11038.07391,2.825586796,4045.26,-346.2661194,96.55086567,1.6365,0.009704969,1.3552
12/3/2013,1795.150024,3475680000,15914.62,17973.46106,17461715.54,11041.14783,2.80652951,4037.2,-347.4194776,96.55746269,1.6416,0.009769441,1.3604
12/4/2013,1792.810059,3610540000,15889.77,17972.5331,17468358.94,11044.22174,2.787472224,4038,-348.5728358,96.5640597,1.6352,0.009758002,1.3555
12/5/2013,1785.030029,3336880000,15821.51,17971.60515,17475002.34,11047.29565,2.768414938,4033.16,-349.726194,96.57065672,1.6328,0.009821253,1.3664
12/6/2013,1805.089966,3150030000,16020.2,17970.67719,17481645.75,11050.36957,2.749357652,4062.52,-350.8795522,96.57725373,1.6327,0.009720062,1.369
12/9/2013,1808.369995,3129500000,16025.53,17969.74924,17488289.15,11053.44348,2.730300366,4068.75,-352.0329104,96.58385075,1.6403,0.009688045,1.3726
12/10/2013,1802.619995,3117150000,15973.13,17968.82128,17494932.55,11056.51739,2.71124308,4060.49,-353.1862687,96.59044776,1.6424,0.009727626,1.3765
12/11/2013,1782.219971,3472240000,15843.53,17967.89333,17501575.96,11059.5913,2.692185794,4003.81,-354.3396269,96.59704478,1.6389,0.009767533,1.3798
12/12/2013,1775.5,3306640000,15739.43,17966.96537,17508219.36,11062.66522,2.673128508,3998.4,-355.4929851,96.60364179,1.6326,0.00969838,1.3752
12/13/2013,1775.319946,3061070000,15755.36,17966.03742,17514862.76,11065.73913,2.654071222,4000.98,-356.6463433,96.61023881,1.6294,0.009682417,1.3724
12/16/2013,1786.540039,3209890000,15884.57,17965.10946,17521506.16,11068.81304,2.635013936,4029.52,-357.7997015,96.61683582,1.6311,0.009717229,1.3757
12/17/2013,1781,3270030000,15875.26,17964.18151,17528149.57,11071.88696,2.61595665,4023.68,-358.9530597,96.62343284,1.6254,0.00974374,1.3748
12/18/2013,1810.650024,4327770000,16167.97,17963.25355,17534792.97,11074.96087,2.596899364,4070.06,-360.1064179,96.63002985,1.6388,0.009691801,1.3766
12/19/2013,1809.599976,3497210000,16179.08,17962.3256,17541436.37,11078.03478,2.577842078,4058.13,-361.2597761,96.63662687,1.6382,0.009600614,1.3666
12/20/2013,1818.319946,5097700000,16221.14,17961.39764,17548079.78,11081.1087,2.558784792,4104.74,-362.4131343,96.64322388,1.6355,0.009608917,1.3673
12/23/2013,1827.98999,2851540000,16294.61,17960.46969,17554723.18,11084.18261,2.539727506,4148.9,-363.5664925,96.6498209,1.6356,0.00960984,1.3701
12/24/2013,1833.319946,1307630000,16357.55,17959.54173,17561366.58,11087.25652,2.52067022,4155.42,-364.7198507,96.65641791,1.6371,0.009591406,1.3676
12/25/2013,1837.669983,1644950000,16418.715,17958.61378,17568009.99,11090.33043,2.501612934,4161.3,-365.873209,96.66301493,1.6398,0.00957034,1.3683
12/26/2013,1842.02002,1982270000,16479.88,17957.68582,17574653.39,11093.40435,2.482555648,4167.18,-367.0265672,96.66961194,1.6425,0.009549274,1.369
12/27/2013,1841.400024,2052920000,16478.41,17956.75787,17581296.79,11096.47826,2.463498362,4156.59,-368.1799254,96.67620896,1.6491,0.009519277,1.3766
12/30/2013,1841.069946,2293860000,16504.29,17955.82991,17587940.19,11099.55217,2.444441076,4154.2,-369.3332836,96.68280597,1.6522,0.00952381,1.3816
12/31/2013,1848.359985,2312840000,16576.66,17954.90196,17594583.6,11102.62609,2.42538379,4176.59,-370.4866418,96.68940299,1.6574,0.009501188,1.3779
1/1/2014,1840.169983,2696720000,16509.005,17953.974,17601227,11105.7,2.406326504,4159.83,-371.64,96.696,1.65075,0.009519766,1.37245
1/2/2014,1831.97998,3080600000,16441.35,17957.4882,17601702.44,11108.54783,2.403913671,4143.07,-371.2404394,96.70256061,1.6441,0.009538344,1.367
1/3/2014,1831.369995,2774270000,16469.99,17961.00239,17602177.88,11111.39565,2.401500838,4131.91,-370.8408788,96.70912121,1.6424,0.009573042,1.3606
