DATE,USD to JPY,USD to EUR,USD to GBP,Close_SP,Adj Close_SP,Volume_SP,NASDAQCOM,Close_DJ
1999-05-17,0.0081122738703658,1.0672,1.6193,1339.48999,1339.48999,665500000,2561.84,10853.47
1999-05-18,0.0081142486205777,1.0672,1.6203,1333.319946,1333.319946,753400000,2558.36,10836.95
1999-05-19,0.0080353555644837,1.0641,1.6175,1344.22998,1344.22998,801100000,2577.40,10887.39
1999-05-20,0.0080547724526782,1.063,1.6122,1338.829956,1338.829956,752200000,2542.23,10866.74
1999-05-21,0.0080710250201775,1.0577,1.602,1330.290039,1330.290039,686600000,2520.14,10829.28
1999-05-24,0.0080925791049607,1.0593,1.5978,1306.650024,1306.650024,754700000,2453.66,10654.67
1999-05-25,0.0081380208333333,1.0587,1.6021,1284.400024,1284.400024,826700000,2380.90,10531.09
1999-05-26,0.008194706219782,1.0471,1.5963,1304.76001,1304.76001,870800000,2427.18,10702.16
1999-05-27,0.0082460625051537,1.0439,1.5957,1281.410034,1281.410034,811400000,2419.15,10466.93
1999-05-28,0.0082726671078755,1.0422,1.602,1301.839966,1301.839966,649960000,2470.52,10559.74
1999-06-01,0.0082815734989648,1.0449,1.615,1294.26001,1294.26001,683800000,2412.03,10596.26
1999-06-02,0.0082549116724451,1.0357,1.6075,1294.810059,1294.810059,728000000,2432.41,10577.89
1999-06-03,0.0082304526748971,1.0355,1.6055,1299.540039,1299.540039,719600000,2403.32,10663.69
1999-06-04,0.0081973932289531,1.0327,1.6074,1327.75,1327.75,694500000,2478.34,10799.84
1999-06-07,0.0082433435001236,1.0296,1.601,1334.52002,1334.52002,664300000,2524.21,10909.38
1999-06-08,0.0083416750083416,1.0438,1.605,1317.329956,1317.329956,685900000,2474.56,10765.64
1999-06-09,0.0083892617449664,1.045,1.6001,1318.640015,1318.640015,662000000,2519.35,10690.29
1999-06-10,0.0084139671855279,1.0477,1.6002,1302.819946,1302.819946,716500000,2484.62,10621.27
1999-06-11,0.0084645336041984,1.0516,1.6085,1293.640015,1293.640015,698200000,2447.88,10490.51
1999-06-14,0.0083056478405315,1.0416,1.6075,1294.0,1294.0,669400000,2398.31,10563.33
1999-06-15,0.0082898118212716,1.042,1.595,1301.160034,1301.160034,696600000,2414.67,10594.99
1999-06-16,0.0083312505207031,1.0298,1.5862,1330.410034,1330.410034,806800000,2517.83,10784.95
1999-06-17,0.0083703021679082,1.0329,1.5925,1339.900024,1339.900024,700300000,2544.15,10841.63
1999-06-18,0.0083001328021248,1.0368,1.5924,1342.839966,1342.839966,914500000,2563.44,10855.56
1999-06-21,0.0081779522407589,1.0323,1.589,1349.0,1349.0,686600000,2630.28,10815.98
1999-06-22,0.0082182774490466,1.0323,1.5895,1335.880005,1335.880005,716500000,2580.26,10721.63
1999-06-23,0.0081933633756657,1.0316,1.5787,1333.060059,1333.060059,731800000,2598.12,10666.86
1999-06-24,0.0082081589099564,1.0372,1.5833,1315.780029,1315.780029,690400000,2553.99,10534.83
1999-06-25,0.0082453825857519,1.0448,1.5893,1315.310059,1315.310059,623460000,2552.65,10552.56
1999-06-28,0.0082440230832646,1.0373,1.5822,1331.349976,1331.349976,652910000,2602.44,10655.15
1999-06-29,0.0082774604751262,1.0337,1.5781,1351.449951,1351.449951,820100000,2642.11,10815.35
1999-06-30,0.0082685629237638,1.031,1.5765,1372.709961,1372.709961,1117000000,2686.12,10970.8
1999-07-01,0.0082651458798247,1.0236,1.5765,1380.959961,1380.959961,843400000,2706.18,11066.42
1999-07-02,0.0082555931643688,1.0244,1.5792,1391.219971,1391.219971,613570000,2741.02,11139.24
1999-07-06,0.0082007544694111,1.0249,1.5688,1388.119995,1388.119995,722900000,2736.78,11135.12
1999-07-07,0.0081839757754317,1.0224,1.5602,1395.859985,1395.859985,791200000,2743.04,11187.36
1999-07-08,0.008158603247124,1.0198,1.5577,1394.420044,1394.420044,830600000,2771.86,11126.89
1999-07-09,0.0081719375663969,1.0186,1.5515,1403.280029,1403.280029,701000000,2793.07,11193.7
1999-07-12,0.0081819669448535,1.0139,1.5558,1399.099976,1399.099976,685300000,2790.44,11200.98
1999-07-13,0.0082385895534684,1.0176,1.5566,1393.560059,1393.560059,736000000,2778.23,11175.02
1999-07-14,0.0082932492950738,1.0215,1.5635,1398.170044,1398.170044,756100000,2818.13,11148.1
1999-07-15,0.0082994439372562,1.022,1.5665,1409.619995,1409.619995,818800000,2839.37,11186.41
1999-07-16,0.0082658290626549,1.0203,1.5622,1418.780029,1418.780029,714100000,2864.48,11209.84
1999-07-19,0.0083906695754321,1.0203,1.563,1407.650024,1407.650024,642330000,2830.29,11187.68
1999-07-20,0.0084076004708256,1.042,1.57,1377.099976,1377.099976,754800000,2732.18,10996.13
1999-07-21,0.0084566596194503,1.0526,1.5766,1379.290039,1379.290039,785500000,2761.77,11002.78
1999-07-22,0.0085273300929478,1.0509,1.5835,1360.969971,1360.969971,771700000,2684.44,10969.22
1999-07-23,0.0085829542528538,1.0497,1.578,1356.939941,1356.939941,630580000,2692.40,10910.96
1999-07-26,0.0085719183953368,1.0651,1.5905,1347.76001,1347.76001,613450000,2619.19,10863.16
1999-07-27,0.0086036307321689,1.0627,1.5895,1362.839966,1362.839966,723800000,2679.33,10979.04
1999-07-28,0.0086080743737625,1.0644,1.5935,1365.400024,1365.400024,690900000,2705.84,10972.07
1999-07-29,0.0086813091414185,1.0719,1.613,1341.030029,1341.030029,770100000,2640.01,10791.29
1999-07-30,0.00871839581517,1.0694,1.6207,1328.719971,1328.719971,736800000,2638.49,10655.15
1999-08-02,0.0087328617587983,1.0661,1.6145,1328.050049,1328.050049,649550000,2623.63,10645.96
1999-08-03,0.0086880973066898,1.068,1.6185,1322.180054,1322.180054,739600000,2587.99,10677.31
1999-08-04,0.0087565674255691,1.0766,1.62,1305.329956,1305.329956,789300000,2540.00,10674.77
1999-08-05,0.0087734690296543,1.0793,1.6198,1313.709961,1313.709961,859300000,2565.83,10793.82
1999-08-06,0.0087260034904013,1.077,1.6147,1300.290039,1300.290039,698900000,2547.97,10714.03
1999-08-09,0.0086677645835139,1.0694,1.6,1297.800049,1297.800049,684300000,2518.98,10707.7
1999-08-10,0.0087382034253757,1.0752,1.618,1281.430054,1281.430054,836200000,2490.11,10655.15
1999-08-11,0.0086880973066898,1.066,1.6107,1301.930054,1301.930054,792300000,2564.98,10787.8
