,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
146,1999-07-27,0.0086036307321689,1.0627,1.5895,
147,1999-07-28,0.0086080743737625,1.0644,1.5935,
148,1999-07-29,0.0086813091414185,1.0719,1.613,
149,1999-07-30,0.00871839581517,1.0694,1.6207,
150,1999-08-02,0.0087328617587983,1.0661,1.6145,
151,1999-08-03,0.0086880973066898,1.068,1.6185,
152,1999-08-04,0.0087565674255691,1.0766,1.62,
153,1999-08-05,0.0087734690296543,1.0793,1.6198,
154,1999-08-06,0.0087260034904013,1.077,1.6147,
155,1999-08-09,0.0086677645835139,1.0694,1.6,
156,1999-08-10,0.0087382034253757,1.0752,1.618,
157,1999-08-11,0.0086880973066898,1.066,1.6107,
158,1999-08-12,0.0086385625431928,1.0636,1.609,
159,1999-08-13,0.0086460314715545,1.0568,1.6057,
160,1999-08-16,0.008708525646608,1.0557,1.6011,
161,1999-08-17,0.0087581012436503,1.0525,1.6036,
162,1999-08-18,0.0089047195013357,1.0505,1.6004,
163,1999-08-19,0.0089976606082418,1.0643,1.618,
164,1999-08-20,0.0089734386216798,1.0654,1.6133,
165,1999-08-23,0.0089501476774366,1.0553,1.6076,
166,1999-08-24,0.0089661974356675,1.0506,1.5946,
167,1999-08-25,0.0089944234574563,1.0461,1.5865,
168,1999-08-26,0.0089421443262094,1.0441,1.5876,
169,1999-08-27,0.0089541547277936,1.046,1.5885,
170,1999-08-30,0.0089984702600557,1.0445,1.5875,
171,1999-08-31,0.0091491308325709,1.0581,1.6086,
172,1999-09-01,0.0091449474165523,1.0582,1.6023,
173,1999-09-02,0.009154155986818,1.0689,1.6091,
174,1999-09-03,0.0090834771550549,1.0605,1.6028,
175,1999-09-06,,,,
176,1999-09-07,0.0090155066714749,1.0581,1.6057,
177,1999-09-08,0.0090098207045679,1.059,1.6185,
178,1999-09-09,0.0092592592592592,1.0543,1.6332,
179,1999-09-10,0.0091743119266055,1.0402,1.6183,
180,1999-09-13,0.0094170825878142,1.04,1.609,
181,1999-09-14,0.0094939713282065,1.0408,1.6085,
182,1999-09-15,0.0096357679707072,1.0385,1.611,
183,1999-09-16,0.0095147478591817,1.0418,1.625,
184,1999-09-17,0.0093510379652141,1.0399,1.6222,
185,1999-09-20,0.0093967299379815,1.0408,1.623,
186,1999-09-21,0.0095374344301382,1.046,1.631,
187,1999-09-22,0.0096126117466115,1.05,1.6363,
188,1999-09-23,0.0095987713572662,1.0415,1.6375,
189,1999-09-24,0.0096024582293067,1.0466,1.6428,
190,1999-09-27,0.0094277364004902,1.0431,1.6455,
